chr,position,score,mac,maf,gve
2,1937023,8.843703,16,0.09039548,N/A
1,4865227,7.727814,7,0.03954802,N/A
4,5760163,7.192487,21,0.118644066,N/A
5,14887863,7.1292806,16,0.09039548,N/A
3,10239234,6.719548,34,0.19209039,N/A
1,23532311,6.679705,6,0.033898305,N/A
4,5750935,6.678682,22,0.12429378,N/A
4,5751217,6.678682,22,0.12429378,N/A
4,5755292,6.678682,22,0.12429378,N/A
2,7434721,6.6419315,31,0.17514125,N/A
1,1921765,6.304826,20,0.11299435,N/A
5,15321564,6.2146034,29,0.16384181,N/A
4,9361915,6.1913986,15,0.084745765,N/A
1,26483654,6.1871023,26,0.14689265,N/A
3,349137,6.1871023,26,0.14689265,N/A
3,14254045,6.075089,63,0.3559322,N/A
3,23146095,5.946237,18,0.10169491,N/A
4,5629087,5.946237,18,0.10169491,N/A
4,6457840,5.911789,13,0.073446326,N/A
5,1941525,5.911789,13,0.073446326,N/A
1,1921587,5.824611,21,0.118644066,N/A
3,23279245,5.6752553,11,0.06214689,N/A
4,17801875,5.6752553,11,0.06214689,N/A
1,23521146,5.6380444,5,0.028248588,N/A
1,23524118,5.6380444,5,0.028248588,N/A
1,23524868,5.6380444,5,0.028248588,N/A
1,23526915,5.6380444,5,0.028248588,N/A
1,23527867,5.6380444,5,0.028248588,N/A
1,23533582,5.6380444,5,0.028248588,N/A
1,23538127,5.6380444,5,0.028248588,N/A
1,23546178,5.6380444,5,0.028248588,N/A
1,23602415,5.6380444,5,0.028248588,N/A
3,18427164,5.6361337,41,0.23163842,N/A
1,5064884,5.6265564,34,0.19209039,N/A
1,9732557,5.562311,45,0.2542373,N/A
1,26709042,5.5180573,31,0.17514125,N/A
2,1937655,5.5047183,9,0.050847456,N/A
3,18246719,5.473158,38,0.21468927,N/A
3,8594324,5.4504776,19,0.107344635,N/A
4,9362907,5.4504776,19,0.107344635,N/A
2,373978,5.449558,7,0.03954802,N/A
4,716066,5.449558,7,0.03954802,N/A
2,16675124,5.4372735,28,0.15819208,N/A
5,14221794,5.4372735,28,0.15819208,N/A
3,347200,5.390879,25,0.14124294,N/A
3,368138,5.3894486,22,0.12429378,N/A
3,23137106,5.3894486,22,0.12429378,N/A
5,5824710,5.3894486,22,0.12429378,N/A
2,7460293,5.375094,42,0.23728813,N/A
2,7435415,5.3283563,35,0.19774011,N/A
2,8105555,5.3283563,35,0.19774011,N/A
2,7460563,5.3202004,46,0.259887,N/A
3,10137915,5.3202004,46,0.259887,N/A
3,22148880,5.2837043,14,0.07909604,N/A
4,5631977,5.2837043,14,0.07909604,N/A
5,7692409,5.2837043,14,0.07909604,N/A
5,7730713,5.2837043,14,0.07909604,N/A
5,7734832,5.2837043,14,0.07909604,N/A
5,7738606,5.2837043,14,0.07909604,N/A
4,6027682,5.2400217,72,0.40677965,N/A
1,22341368,5.203807,32,0.18079096,N/A
4,13493047,5.203807,32,0.18079096,N/A
2,1049476,5.1177917,72,0.40677965,N/A
2,7463866,5.102714,29,0.16384181,N/A
2,7465139,5.102714,29,0.16384181,N/A
3,350220,5.102714,29,0.16384181,N/A
3,351642,5.102714,29,0.16384181,N/A
1,4816936,5.089004,17,0.096045196,N/A
1,5882376,5.0827556,51,0.2881356,N/A
4,5757008,5.0300217,26,0.14689265,N/A
5,25080881,5.0300217,26,0.14689265,N/A
3,2118083,5.0058746,20,0.11299435,N/A
3,8228669,4.9935093,23,0.1299435,N/A
3,19722431,4.9935093,23,0.1299435,N/A
3,23137024,4.9935093,23,0.1299435,N/A
5,18517078,4.9935093,23,0.1299435,N/A
5,3332848,4.9886,12,0.06779661,N/A
3,8227332,4.9821467,77,0.43502825,N/A
2,7433011,4.909524,33,0.18644068,N/A
3,9134211,4.890404,44,0.24858756,N/A
1,5881960,4.8739047,52,0.2937853,N/A
1,5883515,4.8739047,52,0.2937853,N/A
1,5887168,4.8739047,52,0.2937853,N/A
1,5888046,4.8739047,52,0.2937853,N/A
5,800617,4.8677945,48,0.27118644,N/A
2,17873643,4.8545203,65,0.36723164,N/A
3,12350937,4.8545203,65,0.36723164,N/A
2,7448482,4.791512,30,0.16949153,N/A
2,7457124,4.791512,30,0.16949153,N/A
3,352564,4.791512,30,0.16949153,N/A
3,9130971,4.791512,30,0.16949153,N/A
3,9131120,4.791512,30,0.16949153,N/A
3,18249835,4.791512,30,0.16949153,N/A
