"name","transcript_start","transcript_end","strand","chromosome","short_description","Curator_summary","Locus"
"AT1G01010.1",3631,5899,"+","1","NAC domain containing protein 1",NA,"AT1G01010"
"AT1G01020.1",5928,8737,"-","1","Arv1-like protein",NA,"AT1G01020"
"AT1G01030.1",11649,13714,"-","1","AP2/B3-like transcriptional factor family protein",NA,"AT1G01030"
"AT1G01040.2",23416,31120,"+","1","dicer-like 1","Encodes a Dicer homolog. Dicer is a RNA helicase involved in microRNA processing. Mutations in this locus can result in embryo lethality. Embryo shape at seed maturity is globular-elongate. Other mutants convert the floral meristems to an indeterminate state, others yet show defects in ovule development. mRNA is expressed in all shoot tissues. DCL1 is able to produce miRNAs and siRNAs.","AT1G01040"
"AT1G01050.1",31170,33153,"-","1","pyrophosphorylase 1","Encodes a soluble protein with inorganic pyrophosphatase activity that is highly specific for Mg-inorganic pyrophosphate.","AT1G01050"
"AT1G01060.1",33666,37840,"-","1","Homeodomain-like superfamily protein","LHY encodes a myb-related putative transcription factor involved in circadian rhythm along with another myb transcription factor CCA1","AT1G01060"
"AT1G01070.1",38752,40944,"-","1","nodulin MtN21 /EamA-like transporter family protein","nodulin MtN21-like transporter family protein","AT1G01070"
"AT1G01073.1",44677,44787,"+","1",NA,NA,"AT1G01073"
"AT1G01080.2",45296,47019,"-","1","RNA-binding (RRM/RBD/RNP motifs) family protein",NA,"AT1G01080"
"AT1G01090.1",47485,49286,"-","1","pyruvate dehydrogenase E1 alpha","pyruvate dehydrogenase E1 alpha subunit","AT1G01090"
"AT1G01100.1",50090,51108,"-","1","60S acidic ribosomal protein family",NA,"AT1G01100"
"AT1G01110.2",52239,54692,"+","1","IQ-domain 18",NA,"AT1G01110"
"AT1G01115.1",56624,56740,"+","1",NA,NA,"AT1G01115"
"AT1G01120.1",57269,59167,"-","1","3-ketoacyl-CoA synthase 1","Encodes a condensing enzyme KCS1 (3-ketoacyl-CoA synthase 1) which is involved in the critical fatty acid elongation process in wax biosynthesis.","AT1G01120"
"AT1G01130.1",61905,63811,"-","1",NA,NA,"AT1G01130"
"AT1G01140.3",64167,67625,"-","1","CBL-interacting protein kinase 9","Encodes a CBL-interacting protein kinase with similarity to SOS2","AT1G01140"
"AT1G01150.1",70115,72138,"-","1","Homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain",NA,"AT1G01150"
"AT1G01160.2",72357,74096,"+","1","GRF1-interacting factor 2","Arabidopsis thaliana GRF1-interacting factor 2 (GIF2) mRNA","AT1G01160"
"AT1G01170.1",73931,74737,"-","1","Protein of unknown function (DUF1138)",NA,"AT1G01170"
"AT1G01180.1",75583,76758,"+","1","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein",NA,"AT1G01180"
"AT1G01190.1",83045,84864,"-","1","cytochrome P450, family 78, subfamily A, polypeptide 8","member of CYP78A","AT1G01190"
"AT1G01200.1",86515,88213,"-","1","RAB GTPase homolog A3",NA,"AT1G01200"
"AT1G01210.1",88898,89745,"+","1","DNA-directed RNA polymerase, subunit M, archaeal",NA,"AT1G01210"
"AT1G01220.1",91376,95651,"+","1","L-fucokinase/GDP-L-fucose pyrophosphorylase","Encodes a bifunctional enzyme that has both L-fucokinase and GDP-L-fucose pyrophosphorylase activities. It catalyzes the two steps of the L-fucose salvage pathway for the generation of activated GDP-L-fucose. This pathway seems to be of minor importance for cell wall polysaccharide biosynthesis compared to the de novo GDP-L-fucose biosynthesis pathway in Arabidopsis.","AT1G01220"
"AT1G01225.1",95987,97407,"+","1","NC domain-containing protein-related",NA,"AT1G01225"
"AT1G01230.1",97456,99240,"+","1","ORMDL family protein",NA,"AT1G01230"
"AT1G01240.1",99922,101834,"+","1",NA,NA,"AT1G01240"
"AT1G01250.1",104491,105330,"-","1","Integrase-type DNA-binding superfamily protein","encodes a member of the DREB subfamily A-4 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 17 members in this subfamily including TINY.","AT1G01250"
"AT1G01260.1",109032,111609,"+","1","basic helix-loop-helix (bHLH) DNA-binding superfamily protein",NA,"AT1G01260"
"AT1G01280.1",112263,113947,"+","1","cytochrome P450, family 703, subfamily A, polypeptide 2","member of CYP703A  CYP703A2 is expressed specifically in anthers of land plants, catalyzing the in-chain hydroxylation at the C-7 position of medium-chain saturated fatty acids (lauric acid in-chain hydroxylase) which is involved in pollen development (sporopollenin synthesis).","AT1G01280"
"AT1G01290.1",114286,115549,"+","1","cofactor of nitrate reductase and xanthine dehydrogenase 3","COFACTOR OF NITRATE REDUCTASE AND XANTHINE DEHYDROGENASE 3. Encodes a protein involved in molybdenum cofactor biosynthesis. Homologous to E.coli MoaC. Expression is low in all tissues examined, except in roots. Appears to have targeting signals for chloroplast or mitochondria","AT1G01290"
"AT1G01300.1",116943,118764,"+","1","Eukaryotic aspartyl protease family protein",NA,"AT1G01300"
"AT1G01305.1",119397,119997,"+","1",NA,NA,"AT1G01305"
"AT1G01310.1",120154,121130,"+","1","CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein",NA,"AT1G01310"
"AT1G01320.1",121124,130570,"-","1","Tetratricopeptide repeat (TPR)-like superfamily protein",NA,"AT1G01320"
"AT1G01340.2",132330,135831,"-","1","cyclic nucleotide gated channel 10","member of Cyclic nucleotide gated channel family","AT1G01340"
"AT1G01350.1",136124,138162,"+","1","Zinc finger (CCCH-type/C3HC4-type RING finger) family protein",NA,"AT1G01350"
"AT1G01355.1",138513,139568,"+","1","Putative endonuclease or glycosyl hydrolase",NA,"AT1G01355"
"AT1G01360.1",141971,143183,"+","1","regulatory component of ABA receptor 1","Encodes RCAR1 (regulatory components of ABA receptor).  Interacts with and regulates the type 2C protein phosphatases (PP2Cs) ABI1 and ABI2.  Functions as abscisic acid sensor.","AT1G01360"
"AT1G01370.1",143564,145650,"+","1","Histone superfamily protein","Encodes a centromere-identifying  protein histone H3 variant. Localized at centromeres in both mitotic and  meiotic cells.","AT1G01370"
"AT1G01380.1",147153,147942,"+","1","Homeodomain-like superfamily protein","ETC1 is involved in trichome and root  hair patterning in Arabidopsis.","AT1G01380"
"AT1G01390.1",148120,149806,"-","1","UDP-Glycosyltransferase superfamily protein",NA,"AT1G01390"
"AT1G01400.1",150689,152210,"-","1",NA,NA,"AT1G01400"
"AT1G01410.1",153113,154198,"+","1","pumilio 22","Encodes a member of the Arabidopsis Pumilio (APUM) proteins containing PUF domain (eight repeats of approximately 36 amino acids each). PUF proteins regulate both mRNA stability and translation through sequence-specific binding to the 3' UTR of target mRNA transcripts.","AT1G01410"
"AT1G01420.1",154492,156011,"-","1","UDP-glucosyl transferase 72B3",NA,"AT1G01420"
"AT1G01430.1",156801,158655,"-","1","TRICHOME BIREFRINGENCE-LIKE 25","Encodes a member of the TBL (TRICHOME BIREFRINGENCE-LIKE) gene family containing a plant-specific DUF231 (domain of unknown function) domain. TBL gene family has 46 members, two of which (TBR/AT5G06700 and TBL3/AT5G01360) have been shown to be involved in the synthesis and deposition of secondary wall cellulose, presumably by influencing the esterification state of pectic polymers. A nomenclature for this gene family has been proposed (Volker Bischoff & Wolf Scheible, 2010, personal communication).","AT1G01430"
"AT1G01440.1",159856,162572,"-","1","Protein of unknown function (DUF3133)",NA,"AT1G01440"
"AT1G01450.1",164105,165517,"-","1","Protein kinase superfamily protein",NA,"AT1G01450"
"AT1G01453.2",166618,167842,"-","1",NA,NA,"AT1G01453"
"AT1G01460.1",168723,171165,"+","1","Phosphatidylinositol-4-phosphate 5-kinase, core","Type I phosphatidylinositol-4-phosphate 5-kinase, subfamily A.","AT1G01460"
"AT1G01470.1",172146,172948,"-","1","Late embryogenesis abundant protein","Encodes late-embryogenesis abundant protein whose mRNA levels are induced in response to wounding and light stress. Might be involved in protection against dessication.","AT1G01470"
"AT1G01471.1",173251,173466,"+","1",NA,NA,"AT1G01471"
"AT1G01480.1",175782,178400,"+","1","1-amino-cyclopropane-1-carboxylate synthase 2","a member of the 1-aminocyclopropane-1-carboxylate (ACC) synthase (S-adenosyl-L-methionine methylthioadenosine-lyase, EC 4.4.1.14) gene family,  isolated from a flower-specific cDNA library.","AT1G01480"
"AT1G01490.1",180120,182358,"-","1","Heavy metal transport/detoxification superfamily protein",NA,"AT1G01490"
"AT1G01500.1",185133,186923,"+","1","Erythronate-4-phosphate dehydrogenase family protein",NA,"AT1G01500"
"AT1G01510.1",187211,190056,"+","1","NAD(P)-binding Rossmann-fold superfamily protein","Encodes a homolog of human CtBP.  Mutant has longer and thicker leaves than wild type. Involved in controlling polar cell expansion in the leaf width direction.","AT1G01510"
"AT1G01520.1",190596,192139,"+","1","Homeodomain-like superfamily protein",NA,"AT1G01520"
"AT1G01530.1",192640,193670,"-","1","AGAMOUS-like 28",NA,"AT1G01530"
"AT1G01540.2",195780,198684,"+","1","Protein kinase superfamily protein",NA,"AT1G01540"
"AT1G01550.1",199639,201775,"+","1","Protein of unknown function (DUF793)","Encodes a protein  with no functionally characterized domains that to prevent the synthesis of a novel substance that moves from the root to the shoot, where it modifies shoot growth by interfering with auxin signaling.  Synthesis and delivery of this substance requires neither phloem nor endodermis.","AT1G01550"
"AT1G01560.2",202136,204189,"+","1","MAP kinase 11","member of MAP Kinase","AT1G01560"
"AT1G01570.1",205176,207435,"+","1","Protein of unknown function (DUF604)",NA,"AT1G01570"
"AT1G01580.1",209395,213041,"+","1","ferric reduction oxidase 2","Encodes the low-iron-inducible ferric chelate reductase responsible for reduction of iron at the root surface.  It is likely to be the major Fe(III) chelate reductase in Arabidopsis iron metabolism.  Coordinately regulated with IRT1, the major transporter responsible for high-affinity iron uptake from the soil, at both transcriptional and posttranscriptional levels. Steady state mRNA levels are regulated by several metals.  Its transcription is regulated by FIT1.","AT1G01580"
"AT1G01590.1",214229,217304,"+","1","ferric reduction oxidase 1","Encodes a ferric-chelate reductase that is expressed at extremely low levels in Fe deficiency-induced seedlings.","AT1G01590"
"AT1G01600.1",218994,221286,"+","1","cytochrome P450, family 86, subfamily A, polypeptide 4","Encodes a member of the CYP86A subfamily of cytochrome p450 genes. Expressed significantly at highest level in mature stems and flowers.","AT1G01600"
"AT1G01610.1",221691,224340,"-","1","glycerol-3-phosphate acyltransferase 4","bifunctional sn-glycerol-3-phosphate 2-O-acyltransferase/phosphatase. Involved in cutin assembly and is functionally redundant with GPAT8.","AT1G01610"
"AT1G01620.1",225665,227302,"-","1","plasma membrane intrinsic protein 1C","a member of the plasma membrane intrinsic protein subfamily PIP1. localizes to the plasma membrane and exhibits water transport activity in Xenopus oocyte. expressed ubiquitously and protein level decreases slightly during leaf development.","AT1G01620"
"AT1G01630.1",229013,230917,"+","1","Sec14p-like phosphatidylinositol transfer family protein",NA,"AT1G01630"
"AT1G01640.1",230994,232508,"-","1","BTB/POZ domain-containing protein","Putative role in flower development.  Comparison of SALK_011721C to Columbia wild type resulted in a trend toward earlier flowering in the mutant (P=0.1) (Stapleton and Woodruff 2009, personal communication).","AT1G01640"
"AT1G01650.1",232841,237817,"-","1","SIGNAL PEPTIDE PEPTIDASE-LIKE 4",NA,"AT1G01650"
"AT1G01660.1",240057,242608,"-","1","RING/U-box superfamily protein",NA,"AT1G01660"
"AT1G01670.1",242843,245988,"-","1","RING/U-box superfamily protein",NA,"AT1G01670"
"AT1G01680.1",246411,248367,"-","1","plant U-box 54",NA,"AT1G01680"
"AT1G01690.1",249141,252462,"+","1","putative recombination initiation defects 3","Encodes a novel plant-specific protein that is involved in meiotic double strand break formation.","AT1G01690"
"AT1G01695.1",252947,254495,"+","1","Phosphatidylinositol N-acetyglucosaminlytransferase subunit P-related",NA,"AT1G01695"
"AT1G01700.1",259495,261474,"-","1","RHO guanyl-nucleotide exchange factor 2","Encodes a member of KPP-like gene family, homolog of KPP (kinase partner protein) gene in tomato.  Also a member of the RopGEF (guanine nucleotide exchange factor) family, containing the novel PRONE domain (plant-specific Rop nucleotide exchanger), which is exclusively active towards members of the Rop subfamily.","AT1G01700"
"AT1G01710.1",262828,267771,"+","1","Acyl-CoA thioesterase family protein",NA,"AT1G01710"
"AT1G01720.1",268330,269819,"+","1","NAC (No Apical Meristem) domain transcriptional regulator superfamily protein","Belongs to a large family of putative transcriptional activators with NAC domain. Transcript level increases in response to wounding and abscisic acid. ATAF1 attentuates ABA signaling and sythesis. Mutants are hyposensitive to ABA.","AT1G01720"
"AT1G01725.1",269792,270775,"-","1",NA,NA,"AT1G01725"
"AT1G01730.1",270956,272061,"+","1",NA,NA,"AT1G01730"
"AT1G01740.1",272111,274569,"-","1","Protein kinase protein with tetratricopeptide repeat domain",NA,"AT1G01740"
"AT1G01750.1",275366,276310,"+","1","actin depolymerizing factor 11",NA,"AT1G01750"
"AT1G01760.1",276266,278448,"-","1","adenosine deaminases;RNA binding;RNA binding;adenosine deaminases",NA,"AT1G01760"
"AT1G01770.1",278615,282891,"+","1",NA,NA,"AT1G01770"
"AT1G01780.1",282761,284245,"+","1","GATA type zinc finger transcription factor family protein","Encodes a member of the Arabidopsis LIM proteins: a family of actin bundlers with distinct expression patterns.  WLIM1, WLIM2a, and WLIM2b are widely expressed, whereas PLIM2a, PLIM2b, and PLIM2c are predominantly expressed in pollen. Regulates actin cytoskeleton organization.","AT1G01780"
"AT1G01790.1",284610,291094,"+","1","K+ efflux antiporter 1","K efflux antiporter KEA1","AT1G01790"
"AT1G01800.1",293342,295040,"+","1","NAD(P)-binding Rossmann-fold superfamily protein",NA,"AT1G01800"
"AT1G01810.1",295221,295859,"+","1",NA,NA,"AT1G01810"
"AT1G01820.1",296001,298120,"-","1","peroxin 11c","member of the peroxin11 (PEX11) gene family, integral to peroxisome membrane, controls peroxisome proliferation.","AT1G01820"
"AT1G01830.2",298535,300846,"-","1","ARM repeat superfamily protein",NA,"AT1G01830"
"AT1G01840.1",303537,304358,"+","1",NA,NA,"AT1G01840"
"AT1G01860.1",304133,306287,"-","1","Ribosomal RNA adenine dimethylase family protein","dimethyladenosine transferase","AT1G01860"
"AT1G01880.1",306480,309109,"-","1","5'-3' exonuclease family protein",NA,"AT1G01880"
"AT1G01900.1",310316,313130,"+","1","subtilase family protein","Encodes AtSBT1.1, a subtilisin-like serine protease.  Cleaves the phytosulfokine AtPSK4, a growth promoting peptide.","AT1G01900"
"AT1G01910.1",313215,315902,"-","1","P-loop containing nucleoside triphosphate hydrolases superfamily protein",NA,"AT1G01910"
"AT1G01920.1",316187,319644,"+","1","SET domain-containing protein",NA,"AT1G01920"
"AT1G01930.1",319836,322860,"-","1","zinc finger protein-related",NA,"AT1G01930"
"AT1G01940.1",323027,324917,"+","1","Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein",NA,"AT1G01940"
"AT1G01950.3",325379,330619,"+","1","armadillo repeat kinesin 2","Encodes a member of the armadillo/beta-catenin repeat kinesin motor family. Mutants have twisted roots due to abnormal cell file rotation; the phenotype is dependent on microtubules.","AT1G01950"
"AT1G01960.1",330588,337582,"-","1","SEC7-like guanine nucleotide exchange family protein",NA,"AT1G01960"
"AT1G01970.1",338291,340077,"+","1","Tetratricopeptide repeat (TPR)-like superfamily protein",NA,"AT1G01970"
"AT1G01980.1",340172,341999,"-","1","FAD-binding Berberine family protein","member of Reticuline oxidase-like family","AT1G01980"
"AT1G01990.1",343166,344341,"-","1",NA,NA,"AT1G01990"
"AT1G02000.1",345812,347592,"+","1","UDP-D-glucuronate 4-epimerase 2","UDP-D-glucuronate 4-epimerase","AT1G02000"
"AT1G02010.1",347891,352480,"+","1","secretory 1A","member of KEULE Gene Family","AT1G02010"
"AT1G02020.1",352637,354969,"-","1","nitroreductase family protein",NA,"AT1G02020"
"AT1G02030.1",355321,357258,"-","1","C2H2-like zinc finger protein",NA,"AT1G02030"
"AT1G02040.1",358104,359078,"-","1","C2H2-type zinc finger family protein",NA,"AT1G02040"
"AT1G02050.1",359117,360518,"-","1","Chalcone and stilbene synthase family protein",NA,"AT1G02050"
"AT1G02060.1",360918,363094,"-","1","Tetratricopeptide repeat (TPR)-like superfamily protein",NA,"AT1G02060"
