"chromosome"	"transcript_start"	"transcript_end"	"strand"	"name"	"short_description"
1	2903	10817	+	LOC_Os01g01010	"TBC domain containing protein, expressed"
1	11218	12435	+	LOC_Os01g01019	"expressed protein"
1	12648	15915	+	LOC_Os01g01030	"monocopper oxidase, putative, expressed"
1	16292	20323	+	LOC_Os01g01040	"expressed protein"
1	22841	26971	+	LOC_Os01g01050	"R3H domain containing protein, expressed"
1	27136	28651	+	LOC_Os01g01060	"40S ribosomal protein S5, putative, expressed"
1	29818	34493	+	LOC_Os01g01070	"expressed protein"
1	35581	41180	+	LOC_Os01g01080	"decarboxylase, putative, expressed"
1	57082	57972	+	LOC_Os01g01110	"expressed protein"
1	58658	61090	+	LOC_Os01g01115	"pentatricopeptide, putative, expressed"
1	62059	63576	+	LOC_Os01g01120	"enolase-phosphatase E1, putative, expressed"
1	63244	66302	-	LOC_Os01g01130	"snurportin-1, putative, expressed"
1	69675	70131	+	LOC_Os01g01140	"expressed protein"
1	72775	79938	+	LOC_Os01g01150	"RNA recognition motif, putative, expressed"
1	82428	84302	+	LOC_Os01g01160	"heat shock protein DnaJ, putative, expressed"
1	85337	88844	+	LOC_Os01g01170	"expressed protein"
1	88986	89204	-	LOC_Os01g01180	"expressed protein"
1	89653	91521	-	LOC_Os01g01190	"phosphoesterase family protein, putative, expressed"
1	134291	135685	+	LOC_Os01g01280	"expressed protein"
1	139820	141588	+	LOC_Os01g01290	"histone-like transcription factor and archaeal histone, putative, expressed"
1	141936	144554	+	LOC_Os01g01295	"expressed protein"
1	145577	147852	+	LOC_Os01g01302	"shikimate kinase, putative, expressed"
1	148045	150577	+	LOC_Os01g01307	"translocon-associated protein beta domain containing protein, expressed"
1	168470	170389	-	LOC_Os01g01340	"light-induced protein 1-like, putative, expressed"
1	170712	173434	-	LOC_Os01g01350	"SNF7 domain containing protein, putative, expressed"
1	178310	180812	+	LOC_Os01g01360	"peptide transporter PTR2, putative, expressed"
1	186246	190846	-	LOC_Os01g01369	"3-beta-hydroxysteroid-Delta-isomerase, putative, expressed"
1	191036	196287	+	LOC_Os01g01380	"expressed protein"
1	197647	200803	+	LOC_Os01g01390	"expressed protein"
